,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,ra_ps1_stack,dec_ps1_stack,ps_ra,ps_dec,psf_qf,psf_qf_perf,stargal_sep,number_pos,nmeasure,projection_id,nwarp_ok,flags,cat_id,gPSFStackMag,rPSFStackMag,iPSFStackMag,zPSFStackMag,yPSFStackMag,g_sn,r_sn,i_sn,z_sn,y_sn,g_mag_lim,r_mag_lim,i_mag_lim,z_mag_lim,y_mag_lim,gMeanPSFMag,rMeanPSFMag,iMeanPSFMag,zMeanPSFMag,yMeanPSFMag,psf_kron,psf_ap,gnstack,rnstack,instack,znstack,ynstack,gnstack_det,rnstack_det,instack_det,znstack_det,ynstack_det,gstack_primary_off,rstack_primary_off,istack_primary_off,zstack_primary_off,ystack_primary_off,gstack_best_off,rstack_best_off,istack_best_off,zstack_best_off,ystack_best_off,gubercal_dist,rubercal_dist,iubercal_dist,zubercal_dist,yubercal_dist,gpsf_qf_perf_max,rpsf_qf_perf_max,ipsf_qf_perf_max,zpsf_qf_perf_max,ypsf_qf_perf_max,photflags_u,photflags_l,wise_designation,coadd_id,ra_wise,dec_wise,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr,nb,na,EBV,PS_g,PS_r,PS_i,PS_z,PS_y,sigma_WISE_w1,WISE_w1,sigma_WISE_w2,WISE_w2,sigma_WISE_w3,WISE_w3,sigma_WISE_w4,WISE_w4,PS_mag_g,PS_mag_r,PS_mag_i,PS_mag_z,PS_mag_y,WISE_mag_w1,WISE_mag_w2,WISE_mag_w3,WISE_mag_w4,gr,ri,iz,zy,yw1,w1w2,A,F,G,K,L,M,T,highz,lowz,midz,vlowz,qso_prob,pred_class,regression_full,regression_highz,Z_VI,known_star,vis_id,known_quasar,observed,photometric_follow_up,obs_z,comment,spectroscopic_redshift,predicted_redshift,highz_prob,Mstar_prob,part_of_efficiency_test,still_to_observe
0,0,0,5,5,5,227852,73.0265427412,-5.942183858559999,73.0265845163,-5.94217503628,0.9997356,0.9997356,0.18068,28,118,1161,40,436527232,85488,24.664766,22.074528,20.568762,20.026339,19.85608,0.8570719000000001,13.412357,41.095764,37.032337,9.103359,23.304504,23.700485,23.410452,22.754988,21.06128,,21.775764,20.633791,20.001984,19.845863,-0.12983322,-0.0018558502,1,1,1,1,1,0,1,1,1,1,788302,788300,788299,788301,788303,788302,788300,788299,788301,788303,1000,0,0,0,0,,0.9984452,0.9996314,0.99908555,0.9997356,35651585,35651585,J045206.46-055631.5,0729m061_ac51,73.0269431,-5.942108599999999,16.904,0.105,10.3,16.296,0.208,5.2,12.559,-9999.0,-0.7,8.981,-9999.0,-0.3,1,0,0.0374067979106,5.51545657308e-07,5.81025894474e-06,2.27870870982e-05,3.70912553933e-05,4.30386939737e-05,0.105,5.26810233644e-05,0.208,5.10752858511e-05,-9999.0,0.00029297208977900017,-9999.0,0.00208749886927,24.5461119487,21.989576902399996,20.5058435915,19.9768867904,19.8154179122,19.595930115199998,19.6295386075,17.733,15.601,0.094926174987,0.2549803281,0.6143520044430001,0.8618118248659999,0.816967690168,1.03143863978,0.0,0.0,0.0,0.0,0.0,0.146836828493,0.0,0.849300575862,0.0033333333333300003,0.000529262311671,0.0,0.853163171507,highz,5.09981375426,5.12867863971,,False,good,False,False,False,,,,5.12867863971,0.849300575862,0.146836828493,False,True
1,1,1,13,13,13,605828,25.2376476692,-11.683166228800001,25.2376246008,-11.683147267699999,0.99923515,0.99923515,-0.85805225,15,134,1060,51,436527104,94047,,25.633265,22.741737,20.215204,19.808807,2.057455,0.6445566,9.925152,32.537453,15.827689,23.962341,23.963614,24.040775,22.80336,21.61454800000001,,,,20.2193,19.844242,-0.12111473,-0.01748085,1,1,1,1,1,0,0,1,1,1,1419643,1419644,1419642,1419641,1419640,1419643,1419644,1419642,1419641,1419640,1000,1000,1000,0,0,,,,0.99923515,0.9979806,35651585,35651585,J014057.00-114059.5,0247m122_ac51,25.2375379,-11.6832182,16.673,0.085,12.8,15.924,0.147,7.4,12.26,0.4270000000000001,2.5,8.482999999999999,-9999.0,1.8,1,0,0.0190879006747,1e-10,2.10891891109e-07,2.99346126082e-06,3.04816333774e-05,4.41369906658e-05,0.085,6.49634819174e-05,0.147,7.17696754501e-05,0.4270000000000001,0.000385856880528,-9999.0,0.00330237394329,,25.5899159192,22.7096315168,20.1899700342,19.788058825,19.3683923868,19.2602131665,17.434,15.103,0.000474176600505,0.0704508502811,0.0982054086065,0.6906142198999999,0.6794123307909999,0.905166165375,0.0,0.0,0.0,0.0,0.126655940762,0.23322030741,0.0,0.631776960977,0.00625576653546,0.0,0.00209102431531,0.640123751827,highz,6.0668779642900015,6.149335476189999,5.85,False,good2,True,False,False,,,5.85,6.149335476189999,0.631776960977,0.23322030741,True,False
2,2,2,14,14,14,635056,17.02746627,7.189292073410001,17.0274362271,7.189236697360001,0.999651,0.999651,-0.28508237,53,280,1416,140,436527232,10240,,22.312298,20.277056,19.48508,19.63449,0.4484877,15.341839000000002,81.74383,70.01661999999999,19.059309,23.688622,24.084188,23.86539,22.90528,21.641954,,22.129581,20.290712,19.417048,19.30493,-0.07426453,0.03390503,2,2,2,2,2,0,2,2,2,2,455082,455083,455081,455080,455087,455082,455083,455081,455080,455087,1000,0,0,0,0,,0.9992816,0.999651,0.9995054,0.9995706,35651585,35651585,J010806.59+071119.9,0167p075_ac51,17.027475,7.1888833,16.230999999999998,0.07200000000000001,15.1,15.33,0.105,10.3,12.019,0.318,3.4,8.568999999999999,0.401,2.7,1,0,0.023863165329,1e-10,4.53716339775e-06,2.91916800517e-05,6.006379976600001e-05,5.20722483001e-05,0.07200000000000001,9.7685545086e-05,0.105,0.000124113738593,0.318,0.000481755020124,0.401,0.003050887889,,22.2581045726,20.2369178963,19.4535336144,19.6085497987,18.9254898618,18.6655159779,17.192999999999998,15.189,2.20402024863e-05,0.15542659380100002,0.486011210836,1.15347045167,0.533059914384,0.787064721385,0.0,0.0020257329521800004,0.0,0.0,0.0,0.0854545610342,0.0,0.879211786785,0.0100619520331,0.016579300528500002,0.00666666666667,0.912519706014,highz,5.29469765906,5.430426666669999,5.53,False,good,True,False,False,,,5.53,5.430426666669999,0.879211786785,0.0854545610342,False,False
3,3,3,16,16,16,718196,254.962644393,32.6579614034,254.96262737200001,32.6579585481,0.99992156,0.99992156,-0.4335937,62,187,2063,74,436527248,51430,24.839205,21.536179,19.864645,19.831118,19.484037,1.7986146,23.856522,78.55378,58.14601999999999,29.357174,24.283747,23.787392,23.40976,23.049616,21.96052,,21.585056,19.875313,19.798532,19.446476,-0.08070755,0.023124695,1,1,1,1,1,0,1,1,1,1,435942,435941,435943,435944,435940,435942,435941,435943,435944,435940,1000,0,0,0,0,,0.99887383,0.9996806,0.99907047,0.99992156,35651585,35651585,J165951.02+323928.4,2555p333_ac51,254.96261780000003,32.6578978,16.419,0.06,18.1,15.656,0.095,11.4,12.123,-9999.0,1.5,8.621,-9999.0,1.2,1,0,0.023471745814400004,4.5094677433100004e-07,9.265663997780001e-06,4.26540268298e-05,4.36506842684e-05,5.97883824989e-05,0.06,8.21487033602e-05,0.095,9.19172449859e-05,-9999.0,0.000437750094907,-9999.0,0.00290821325087,24.7647524105,21.482874254099997,19.8251655278,19.800087982,19.4585236116,19.11356384,18.9915731251,17.297,15.241,0.0486685869937,0.217228353017,0.977167426921,0.730086388759,0.727806770567,0.8937246038299999,0.0,0.0,0.0,0.0,0.0,0.003767208445420001,0.0,0.986666666667,0.0,0.00956612488791,0.0,0.996232791555,highz,5.122894005880001,5.130365938580001,5.17,False,good,True,False,False,,,5.17,5.130365938580001,0.986666666667,0.003767208445420001,False,False
4,4,4,18,18,18,985017,183.69928684099997,27.6456206327,183.69928468700002,27.6455658672,0.9992966,0.9992966,-0.28415924,33,135,1890,50,436527104,41704,,21.945929,20.487352,20.320028,20.483402,0.55017054,16.435436,51.690304,29.499031,10.235495,23.655584,23.79258,23.578072,22.801743,21.81587,,21.834305,20.470493,20.32726,20.132061,-0.084695816,0.05142021,1,1,1,1,1,0,1,1,1,1,1879760,1879758,1879759,1879761,1879762,1879760,1879758,1879759,1879761,1879762,1000,0,0,0,0,,0.9988852,0.9992966,0.99916047,0.9984722,35651585,35651585,J121447.83+273843.6,1842p272_ac51,183.6993279,27.6454451,17.137,0.133,8.2,16.491,0.245,4.4,12.741,-9999.0,-0.4,9.179,-9999.0,-0.2,1,0,0.0205824338127,1e-10,6.314688069980001e-06,2.39294745244e-05,2.77267468908e-05,2.37473192216e-05,0.133,4.23820813653e-05,0.245,4.25822164366e-05,-9999.0,0.000247757179843,-9999.0,0.00173950727304,,21.8991858664,20.4527327175,20.2928183276,20.4610291466,19.83210992,19.8269949647,17.915,15.799,1.58360949728e-05,0.26388745242,0.863046596078,1.1675737641,0.560315077895,0.995300031608,0.0,0.0,0.0,0.0,0.0,0.0166666666667,0.0,0.959372239451,0.0033333333333300003,0.0206277605488,0.0,0.983333333333,highz,4.90397926362,4.91036856577,4.907,False,good,True,False,False,,,4.907,4.91036856577,0.959372239451,0.0166666666667,False,False
5,5,5,22,22,22,1128615,56.8191878158,-26.802952331100002,56.819216470200004,-26.8029694278,0.99963725,0.99963725,0.34313923,41,249,727,106,436527248,112854,23.424551,21.602932,19.948484,19.920715,19.933449,2.6204476000000003,15.23724,53.58373,40.811966,16.511522,23.277687,23.367393,23.078262,22.75488,21.785112,,21.398066,19.878052,19.899103,19.88628,-0.12935066,0.016235351999999998,2,2,2,2,2,0,2,2,2,2,587968,587964,587970,587965,587973,587968,587964,587970,587965,587973,1000,0,0,0,0,,0.9985209,0.99963725,0.9996136,0.9988748,35651585,35651585,J034716.61-264811.0,0574m273_ac51,56.81923929999999,-26.8030709,16.590999999999998,0.063,17.1,15.845999999999998,0.098,11.1,12.351,-9999.0,0.6,8.685,-9999.0,1.0,1,0,0.0125545851292,1.607441226e-06,8.5164390674e-06,3.88221162282e-05,3.96623991401e-05,3.90935820789e-05,0.063,6.9980231616e-05,0.098,7.70476570383e-05,-9999.0,0.000354834834929,-9999.0,0.0027417398786500004,23.3847278661,21.574420513499998,19.927367608599997,19.9041181705,19.9198019575,19.287627183399998,19.1831670306,17.525,15.305,0.188745696796,0.219370809601,0.978814117901,1.0145501392,0.558637506281,0.908272026769,0.0,0.0,0.000604019805304,0.0,0.0,0.031019873094900008,0.0,0.82490543725,0.00944268656449,0.130593017263,0.00343496602242,0.9683761071,highz,4.8179635991900005,4.85021993024,,False,good,False,False,False,,,,4.85021993024,0.82490543725,0.031019873094900008,False,True
6,6,6,38,41,41,1573693,29.5172592104,-29.0886852143,29.5172863839,-29.0887007091,0.9996805,0.9996805,0.45435372,18,101,641,50,436527104,112497,25.065498,,21.99554,19.50363,19.48921,0.8232589,0.4285885999999999,12.700244,44.160023,24.65813,23.661535,23.14532,23.562267,22.423399,21.776308,,,21.640528,19.495285,19.347277,-0.110845566,-0.001285553,1,1,1,1,1,0,0,1,1,1,418754,418756,418757,418758,418755,418754,418756,418757,418758,418755,1000,1000,0,0,0,,,0.9979075,0.9995098,0.9996805,35651585,35651585,J015804.13-290519.0,0291m288_ac51,29.5172168,-29.0886305,16.108,0.055,19.9,15.239,0.08,13.5,12.011,0.289,3.8,8.506,-9999.0,1.7,1,0,0.012129322937,3.54173932047e-07,1e-10,5.8880380766599994e-06,5.82087617875e-05,5.88323270811e-05,0.055,0.000109180034129,0.08,0.000134751808134,0.289,0.0004853178320580001,-9999.0,0.00323315294069,25.027024139699996,,21.9751390977,19.4875947195,19.4760255548,18.804707558,18.576229118900002,17.185,15.126,3541.73932047,1.69835858223e-05,0.101153810798,0.989400975202,0.538856097184,0.8102305686319999,0.00838334755101,0.0,0.0,0.011616652449,0.0442887109077,0.193456916249,0.0193821138211,0.496257326,0.117257029367,0.0,0.109357903655,0.722872259022,highz,1.71220944809,5.874735,5.99,False,good2,True,False,False,,,5.99,5.874735,0.496257326,0.193456916249,False,False
7,7,7,40,43,43,1574773,30.220735946199998,-29.713684959499997,30.2208100742,-29.713658091,0.9998126,0.9998126,-0.29270312,41,120,642,49,436527248,112497,,21.445564,19.644564000000006,19.439587,19.350782,1.6119324,11.120834,83.00391,50.58734000000001,24.531275,23.467556,22.868105,23.249506,22.506887,21.63228,,21.151522,19.604319,19.455313,19.26504,-0.10040283,-0.014678955,1,1,1,1,1,0,1,1,1,1,2086010,2086013,2086009,2086012,2086011,2086010,2086013,2086009,2086012,2086011,1000,0,0,0,0,,0.99677104,0.9990725,0.9998126,0.9987839,35651585,35651585,J020053.00-294248.8,0295m303_ac51,30.2208456,-29.7135653,16.239,0.058,18.7,15.204,0.077,14.0,12.565,0.438,2.5,8.672,-9999.0,1.2,1,0,0.0126111207679,1e-10,9.84592408728e-06,5.13671583424e-05,6.17817710624e-05,6.68646547429e-05,0.058,9.67786700461e-05,0.077,0.000139175483382,0.438,0.000291357531478,-9999.0,0.0027747652626100004,,21.4169244148,19.6233517698,19.4229147377,19.337074106099998,18.935616498199998,18.5411587764,17.739,15.292,1.01564870005e-05,0.191677414227,0.831429035767,0.923982503162,0.690902806486,0.6953715388259999,0.0,0.0,0.0,0.0,0.0,0.0100845976546,0.0,0.959386140034,0.0,0.0305292623117,0.0,0.989915402345,highz,5.00988635759,5.09212966998,,False,good,False,False,False,,,,5.09212966998,0.959386140034,0.0100845976546,False,True
8,8,8,50,54,54,1949802,244.09215435299998,5.02436881599,244.092129968,5.02436731546,0.99971753,0.9996468,0.07422842,79,206,1472,90,436527248,15913,22.86559,20.523586,18.924223,18.709991,18.733076,7.7044516,76.27125,301.39304,143.65094,66.74485,23.88964,24.036686,23.929253,22.910458,22.101318,22.056765,20.521711,18.932268,18.783436,18.694056,-0.12758064,-0.01610756,1,1,1,1,1,1,1,1,1,1,1242344,1242346,1242347,1242345,1242348,1242344,1242346,1242347,1242345,1242348,0,0,0,0,0,0.99867886,0.9996468,0.999622,0.99929047,0.9993343,102760453,35651649,J161622.09+050127.5,2445p045_ac51,244.0920543,5.0243235,15.897,0.055,19.7,15.168,0.086,12.6,11.720999999999998,0.249,4.4,8.868,0.4970000000000001,2.2,1,0,0.0588168762005,3.07905498643e-06,2.53525115928e-05,0.00010712949674299996,0.000127977031139,0.00012369991136799998,0.055,0.000133681960105,0.086,0.00014476419327000002,0.249,0.000633908023725,0.4970000000000001,0.00231646769989,22.679022010500002,20.3900131473,18.8252929604,18.6322355447,18.6691421512,18.5848836104,18.4984127361,16.895,15.488,0.121449702337,0.236652951461,0.837099405963,1.03457657911,0.925329874504,0.923446310069,0.0,0.0,0.0,0.0,0.0,0.0134658223915,0.0,0.937129342333,0.00670767613488,0.042697159140300006,0.0,0.986534177608,highz,4.86328495256,4.86723076305,4.872,False,good2,True,False,False,,,4.872,4.86723076305,0.937129342333,0.0134658223915,False,False
9,9,9,51,55,55,1951501,243.716260275,5.972654471930001,243.716252903,5.97262758423,0.99974406,0.99974406,-0.631443,53,182,1472,86,436527248,15828,,22.308035,20.293333,20.376078,20.129667,1.1198694,14.78142,92.64317,38.466328,20.395258,24.229687,24.039522,24.017563,23.145977,22.210688,,22.095333,20.246408,20.33832,19.924065,-0.31808853,-0.2167759,1,1,1,1,1,0,1,1,1,1,1732095,1732097,1732098,1732096,1732099,1732095,1732097,1732098,1732096,1732099,1000,0,0,0,0,,0.998929,0.99974406,0.99970526,0.999114,35651585,35651585,J161451.90+055821.2,2430p060_ac51,243.7162588,5.9725619000000005,16.291,0.147,7.4,15.575,0.127,8.5,12.432,0.487,2.2,9.071,-9999.0,-2.0,1,0,0.0468005404355,1e-10,4.77887753287e-06,2.97975413476e-05,2.71858748881e-05,3.3768223302e-05,0.147,9.28035030384e-05,0.127,9.9348062184e-05,0.487,0.00032932617416500003,-9999.0,0.00192143744026,,22.2017508695,20.2146145446,20.3142073375,20.078795094700002,18.9811546979,18.9071671211,17.605999999999995,15.691,2.09254159187e-05,0.160378249907,1.0960670374,0.805072705334,0.3638679812340001,0.934124944144,0.0,0.0,0.0033333333333300003,0.0,0.01,0.0242109384675,0.0,0.858369285381,0.004636780467439999,0.0873586380353,0.0120910243153,0.962455728199,highz,4.98014173304,5.00629403689,,False,good2,False,False,False,,,,5.00629403689,0.858369285381,0.0242109384675,False,True
10,10,10,55,59,59,2109474,143.40724483399998,75.6995035944,143.40712971600001,75.6994768491,0.9996484,0.9996404,-0.4423609000000001,67,177,2582,67,436527232,82632,,20.706282,19.279554,18.793684,18.72258,0.25780815,27.758516,136.33093,88.64735999999998,36.33115,23.720474,23.121967,23.423237,22.470045,21.430473000000006,,20.77654,19.245014,18.872849,18.70348,-0.21786308,-0.100162506,1,1,1,1,1,0,1,1,1,1,12272,12271,12273,12274,12270,12272,12271,12273,12274,12270,1000,0,0,0,0,,0.9996404,0.99939996,0.9993033,0.9993368,35651585,102760453,J093337.65+754158.0,1451p757_ac51,143.4068913,75.69945809999999,15.916,0.045,24.2,15.245,0.069,15.7,11.883,0.232,4.7,9.12,0.465,2.3,1,0,0.0193352860689,1e-10,1.97277591892e-05,7.26462636539e-05,0.00011292163193,0.000120060804427,0.045,0.00013046319094299998,0.069,0.000134139112813,0.232,0.000546042251745,0.465,0.00183664934773,,20.6623712273,19.247032415899998,18.7681227576,18.7015625001,18.6113456309,18.5811770482,17.057000000000002,15.74,5.06899942567e-06,0.271559171759,0.643333455357,0.940537025956,0.920265735943,0.972596196648,0.0,0.0033333333333300003,0.0,0.0,0.0,0.137437657808,0.0,0.8193163749969999,0.0233333333333,0.016579300528500002,0.0,0.8592290088590001,highz,5.123413554230001,5.08931061864,,False,good,False,False,False,,,,5.08931061864,0.8193163749969999,0.137437657808,False,True
11,11,11,57,61,61,2124429,145.53213909,77.5069908994,145.532125425,77.5069680576,0.99980396,0.99980396,-0.23768455,36,301,2606,133,436527104,82612,,23.05378,20.628006,20.118937,19.865776,0.63291854,2.7061732000000003,41.360725,33.490257,12.706801,23.53773,22.941866,23.476673,22.73843,21.433064,,,20.49223,20.158169,19.769032,-0.056201935,0.07441902,2,2,2,2,2,0,0,2,2,2,1539055,1539058,1539059,1539057,1539052,1539055,1539058,1539059,1539057,1539052,1000,1000,0,0,0,,,0.9996416,0.99980396,0.99699044,35651585,35651585,J094207.67+773024.0,1478p772_ac51,145.531993,77.5066823,16.768,0.07200000000000001,15.1,15.658,0.095,11.5,12.338,-9999.0,1.3,9.007,-9999.0,0.5,1,0,0.0178754528242,1e-10,2.26335391828e-06,2.09339152202e-05,3.32586160034e-05,4.18300198814e-05,0.07200000000000001,5.95083122481e-05,0.095,9.16790649824e-05,-9999.0,0.000359108966387,-9999.0,0.00203810356627,,23.0131844487,20.5979394698,20.0953051901,19.8463454448,19.463621539400002,18.994390183900002,17.512,15.627,4.41822196663e-05,0.108118997067,0.629428332736,0.795089653263,0.702927344115,0.6490937954,0.0,0.0,0.0,0.0,0.0033333333333300003,0.143639880049,0.0,0.819745240519,0.0214781766994,0.0033333333333300003,0.00847003606639,0.853026786618,highz,5.304782824659999,5.2940785550300005,,False,good,False,False,False,,,,5.2940785550300005,0.819745240519,0.143639880049,False,True
12,12,12,62,66,66,2259531,197.55462607,-6.66432086125,197.55457929099998,-6.664348533359997,0.99966955,0.99966955,-0.21404243,43,126,1192,56,436527232,88965,26.31681,21.944542,20.253815,19.967968,19.761234,0.38299367,18.819967,59.922066,45.197838,27.104614,24.081985,23.938286,23.504978,22.91296,22.15104,,21.835447,20.210197,19.86406,19.67209,-0.12323189,-0.010410309,1,1,1,1,1,0,1,1,1,1,125383,125382,125384,125385,125386,125383,125382,125384,125385,125386,1000,0,0,0,0,,0.9984459,0.99966955,0.9993611,0.998801,35651585,35651585,J131013.10-063952.6,1974m061_ac51,197.5546003,-6.664629700000001,16.582,0.084,12.9,15.985,0.166,6.6,12.112,0.365,3.0,8.859,0.471,2.3,1,0,0.039515057769300005,1.21182166076e-07,6.5781679119e-06,3.05552682538e-05,3.92405076025e-05,4.70666927478e-05,0.084,7.0894670323e-05,0.166,6.80352411202e-05,0.365,0.000442207647454,0.471,0.00233574941588,26.191468844699997,21.854803235,20.1873503701,19.9157290807,19.718281415699998,19.2735316541,19.318230801600002,17.285999999999998,15.479,0.018421871818900003,0.215287519561,0.7786664882969999,0.833721370924,0.663896066281,1.0420286480299998,0.0,0.0,0.0,0.0,0.0,0.0128575985401,0.0,0.976291504889,0.000624461501195,0.0102264350695,0.0,0.98714240146,highz,5.03801879839,5.04332385965,5.03,False,good2,True,False,False,,,5.03,5.04332385965,0.976291504889,0.0128575985401,False,False
13,13,13,63,67,67,2281702,205.20003300099998,28.1850625987,205.200008565,28.1850439946,0.999628,0.999628,0.25000834,25,137,1975,43,436527232,41911,,24.066967,21.248974,20.119698,20.01397,1.2361635,1.3773727,21.818144,30.691122,13.96284,23.583347,23.221794,23.403215,22.644426,21.683601,,,21.431417,20.574417,19.98505,-0.49286842,-0.2976818,1,1,1,1,1,0,0,1,1,1,183123,183121,183124,183125,183122,183123,183121,183124,183125,183122,1000,1000,0,0,0,,,0.9984212,0.999628,0.99862975,35651585,35651585,J134047.87+281106.3,2057p287_ac51,205.1994956,28.1850852,17.227999999999998,0.129,8.4,16.399,0.223,4.9,12.623,-9999.0,-0.2,8.684,-9999.0,0.9,1,0,0.0103941369928,1e-10,8.76357845031e-07,1.16796515353e-05,3.29339362295e-05,3.62207843941e-05,0.129,3.8905593577e-05,0.223,4.62842538145e-05,-9999.0,0.000276201637428,-9999.0,0.00274426627767,,24.0433619254,21.231490907999998,20.1059565217,20.0026709945,19.9250355081,19.736482455999997,17.797,15.304,0.000114108637889,0.0750328759711,0.354638797315,0.909255190918,0.930991692041,0.840579470782,0.0,0.0033333333333300003,0.0,0.00245832017128,0.0033333333333300003,0.32476404551800003,0.0,0.635545202013,0.0108750131621,0.0196907524689,0.0,0.666110967644,highz,5.49175949206,5.605301666669999,,False,good,False,False,False,,,,5.605301666669999,0.635545202013,0.32476404551800003,False,True
14,14,14,65,70,70,2439794,259.171712828,24.785353757600003,259.17172061900004,24.7852213765,0.9972931,0.18257448,-0.0054595387,1,217,1907,54,436285440,43060,24.180147,22.769947,21.9207,19.861452,22.181574,2.1110992000000004,7.3258649999999985,8.255569,29.098047,1.6849108,23.798615,23.73929,23.019764,22.328308,21.55521400000001,,,,19.435558,,-0.08470917,-0.009460449,2,2,2,2,2,0,2,2,2,0,519611,519616,519610,519609,519612,519611,519616,519610,519609,519612,1000,1000,1000,0,1000,,,,0.18257448,,102760453,102760453,J171641.28+244706.9,2592p242_ac51,259.17201,24.7852525,16.991,0.094,11.5,16.664,0.22,4.9,12.537,-9999.0,0.3,9.271,-9999.0,-0.5,1,0,0.0515642593556,8.982394246489998e-07,3.1541940002599998e-06,6.7056155918699995e-06,4.39250827363e-05,5.1264513675300015e-06,0.094,4.87443750762e-05,0.22,3.64617577793e-05,-9999.0,0.000298969062032,-9999.0,0.00159818205125,24.0165853403,22.652844619,21.833968989000002,19.793284151800002,22.1255235179,19.680254355,19.995471618099998,17.711,15.890999999999998,0.284776213694,0.470380975027,0.152660283695,8.56832135667,0.105170111618,1.3368630051,0.0190745538284,0.013586963215,0.0152394259057,0.0225825243158,0.06404736590480001,0.279770986511,0.01,0.418943579277,0.0436229485327,0.0196825455262,0.0934491069837,0.575698180319,highz,3.66506163506,5.80066,,False,good,False,False,False,,,,5.80066,0.418943579277,0.279770986511,False,True
15,15,15,74,80,80,2937570,219.124792084,6.5855628065900005,219.124766259,6.58555647637,0.99971336,0.99971336,0.48333555,45,150,1466,60,436527248,15115,23.382658,21.398132,19.580177,19.507797,19.446598,4.662186599999999,22.717876,96.813354,58.80626,37.064625,23.861328,23.596249,23.352213,22.738552,22.176193,,21.279472,19.612335,19.42845,19.4242,-0.058906555,0.042354584,1,1,1,1,1,1,1,1,1,1,1082486,1082489,1082488,1082485,1082487,1082486,1082489,1082488,1082485,1082487,1000,0,0,0,0,,0.99971336,0.9994489,0.99920297,0.9997088,35651585,35651585,J143629.92+063507.9,2187p060_ac51,219.1247046,6.5855421000000005,16.845,0.1,10.8,16.287,0.211,5.1,12.412,-9999.0,1.1,8.716000000000001,-9999.0,1.6,1,0,0.0295901877623,1.75592950851e-06,1.06574436683e-05,5.59581830225e-05,5.92317608661e-05,6.22662686876e-05,0.1,5.55473400548e-05,0.211,5.14463201339e-05,-9999.0,0.000335448804865,-9999.0,0.00266456457009,23.2887979292,21.3309330078,19.530406611300002,19.468679013,19.4144335189,19.5384074545,19.621679832599998,17.586,15.336,0.164760852899,0.190453711909,0.944732727919,0.951265622857,1.12095860263,1.07971454343,0.0,0.0,0.0,0.0,0.0,0.0274918458756,0.0,0.932582946291,0.0033333333333300003,0.0365918745002,0.0,0.972508154124,highz,4.81705525051,4.82800053803,4.779,False,good,True,False,False,,,4.779,4.82800053803,0.932582946291,0.0274918458756,False,False
16,16,16,78,84,84,3057241,230.23212809900002,43.2812791403,230.23211824700002,43.2812003329,0.9996958,0.9996958,0.090315625,15,203,2200,81,436527104,58741,,24.740395,22.353931,20.287945,20.510073,1.6536449,1.4337902,6.952839999999999,33.648266,11.48272,23.969849,23.938805,23.266533,22.912548,21.96738,,,,20.24573,20.114267,-0.14404678,-0.06504249599999999,2,2,2,2,2,0,0,2,2,2,455132,455137,455134,455131,455129,455132,455137,455134,455131,455129,1000,1000,1000,0,0,,,,0.9996958,0.9992343,35651585,35651585,J152055.71+431652.4,2309p439_ac51,230.2321434,43.2812479,16.98,0.076,14.4,16.517,0.16699999999999998,6.5,12.632,-9999.0,1.5,9.319,-9999.0,0.4,1,0,0.0216258278865,1e-10,4.82517772253e-07,4.29539923163e-06,2.85946028634e-05,2.31953043646e-05,0.076,4.89847799562e-05,0.16699999999999998,4.15804511618e-05,-9999.0,0.000273921580546,-9999.0,0.00152906606119,,24.691282337199997,22.3175567845,20.2593554492,20.4865654332,19.6749127185,19.8528426291,17.805999999999994,15.939,0.000207246252367,0.112333626337,0.15021713195800002,1.23277549688,0.473520640194,1.1780723534100002,0.0,0.0,0.0,0.0,0.0442355600009,0.197152149397,0.0,0.7387324938500001,0.0033333333333300003,0.016546463419200002,0.0,0.758612290603,highz,5.69544088885,5.824,,False,good,False,False,True,,,,5.824,0.7387324938500001,0.197152149397,True,True
